subject,stage,network,coupling_z
sub-02,Wake,Vis,-0.6206963546725525
sub-02,Wake,SomMot,1.8685453620525376
sub-02,Wake,SomMot,0.5435146828020105
sub-02,Wake,SomMot,0.6377868279566368
sub-02,Wake,SomMot,0.2657123498388504
sub-02,Wake,SomMot,0.5082194668809734
sub-02,Wake,SomMot,0.6166717923087214
sub-02,Wake,SomMot,0.4660469337220819
sub-02,Wake,SomMot,1.386265672579503
sub-02,Wake,SomMot,0.8288415300655841
sub-02,Wake,SomMot,2.2999857443265532
sub-02,Wake,DorsAttn,1.38330829695109
sub-02,Wake,DorsAttn,0.5530580581245411
sub-02,Wake,DorsAttn,0.5580265825717463
sub-02,Wake,DorsAttn,0.32867281727373826
sub-02,Wake,DorsAttn,0.20512987180064013
sub-02,Wake,DorsAttn,-0.11607167168898978
sub-02,Wake,DorsAttn,1.6815821360281316
sub-02,Wake,DorsAttn,1.0990981081427762
sub-02,Wake,DorsAttn,0.747716280867413
sub-02,Wake,DorsAttn,0.06317369903929733
sub-02,Wake,SalVentAttn,1.6267325920268412
sub-02,Wake,SalVentAttn,0.5349684871421108
sub-02,Wake,SalVentAttn,0.3854666022829769
sub-02,Wake,SalVentAttn,0.3069899082118917
sub-02,Wake,SalVentAttn,0.7017364328659508
sub-02,Wake,SalVentAttn,0.6440913173491744
sub-02,Wake,SalVentAttn,0.7831911281363232
sub-02,Wake,SalVentAttn,0.9992257879117376
sub-02,Wake,SalVentAttn,0.6659670403472868
sub-02,Wake,SalVentAttn,1.159107313972615
sub-02,Wake,Limbic,1.64895407775338
sub-02,Wake,Limbic,0.034058633154876755
sub-02,Wake,Limbic,0.21597536387605812
sub-02,Wake,Limbic,0.09371281931334903
sub-02,Wake,Limbic,0.14516467486107712
sub-02,Wake,Limbic,0.06418483405252894
sub-02,Wake,Limbic,0.7667254215194036
sub-02,Wake,Limbic,-0.0452515693055658
sub-02,Wake,Limbic,0.36663802610723895
sub-02,Wake,Limbic,0.5554040821630642
sub-02,Wake,Cont,1.6193037399917778
sub-02,Wake,Cont,0.5150410993265069
sub-02,Wake,Cont,-1.109415234251526
sub-02,Wake,Cont,0.4098461387840479
sub-02,Wake,Cont,0.042725274697094
sub-02,Wake,Cont,-0.09735798615845732
sub-02,Wake,Cont,1.3909853349766477
sub-02,Wake,Cont,-0.13040111272354216
sub-02,Wake,Cont,0.7030660168135439
sub-02,Wake,Cont,-0.7804841335209833
sub-02,Wake,Default,1.6118429862418104
sub-02,Wake,Default,0.30092761268005624
sub-02,Wake,Default,-0.11844891401994036
sub-02,Wake,Default,0.3208540225773597
sub-02,Wake,Default,0.03765718829281351
sub-02,Wake,Default,0.0824958802052971
sub-02,Wake,Default,0.7496287238678295
sub-02,Wake,Default,-0.4753728680209271
sub-02,Wake,Default,0.99861177270608
sub-02,Wake,Default,0.4201901098561086
sub-03,N2,Vis,-1.0862869207403656
sub-03,N2,Vis,-0.07218351399082316
sub-03,N2,SomMot,-0.8142473537154387
sub-03,N2,SomMot,-0.022593437203596307
sub-03,N2,DorsAttn,-0.6432560303325189
sub-03,N2,DorsAttn,-0.10824933828834864
sub-03,N2,SalVentAttn,-0.7142689348699666
sub-03,N2,SalVentAttn,0.27960413433475206
sub-03,N2,Limbic,-0.755217422223143
sub-03,N2,Limbic,-0.34771282482871996
sub-03,N2,Cont,-0.5666368272028782
sub-03,N2,Cont,0.5776661476255354
sub-03,N2,Default,-0.9186760895142866
sub-03,N2,Default,-0.3757043862622009
sub-03,N2,Vis,0.24775862732455567
sub-03,N2,Vis,-0.5730730777731089
sub-03,N2,Vis,-0.47665301026227375
sub-03,N2,SomMot,-0.08790409520324871
sub-03,N2,SomMot,-0.02505222555976121
sub-03,N2,SomMot,0.19509598592612182
sub-03,N2,DorsAttn,-0.008634086947542105
sub-03,N2,DorsAttn,-0.3019060223400706
sub-03,N2,DorsAttn,-0.20070037150684467
sub-03,N2,SalVentAttn,-0.040107970537239815
sub-03,N2,SalVentAttn,-0.2442924668624878
sub-03,N2,SalVentAttn,0.07425286064453185
sub-03,N2,Limbic,0.2009495627375818
sub-03,N2,Limbic,-0.08918306251328731
sub-03,N2,Limbic,-0.4718340573875807
sub-03,N2,Cont,0.2496421045126322
sub-03,N2,Cont,-0.10846237615868698
sub-03,N2,Cont,0.02594569482616515
sub-03,N2,Default,0.44587185548988
sub-03,N2,Default,-0.4346567975065122
